#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B6_FASP_Elite_03242014.psm.txt
#	
#	pep{Run1} = ./OSU_B6_FASP_Elite_03242014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 154
#	Target_Proteins_Before_Filtering = 10369
#	Total_Proteins_Before_Filtering = 10523
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 2
#	Target_Proteins_After_Filtering = 2860
#	Total_Proteins_After_Filtering = 2862
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000698812019567
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
WP_008255093.1	1	4	1	7	2.5	2.5	WP_008255093.1	T
WP_008255109.1	1	3	1	3	3.0	3.0	WP_008255109.1	T
WP_008255189.1	1	5	1	10	6.0	6.0	WP_008255189.1	T
WP_008256061.1	1	3	1	4	3.5	3.5	WP_008256061.1	T
WP_008256062.1	1	3	1	4	2.0	2.0	WP_008256062.1	T
WP_008256583.1	1	14	1	46	7.94432672591	7.94	WP_008256583.1	T
WP_008256594.1	1	33	1	55	13.9066002838	13.91	WP_008256594.1	T
WP_008270697.1	1	22	1	36	9.73626373626	9.74	WP_008270697.1	T
WP_008270927.1	1	34	1	67	11.1095404595	11.11	WP_008270927.1	T
WP_008271807.1	1	2	1	2	2.0	2.0	WP_008271807.1	T
WP_008271884.1	1	5	1	5	3.0	3.0	WP_008271884.1	T
WP_008490287.1	1	3	1	4	2.0	2.0	WP_008490287.1	T
WP_008490577.1	1	3	1	3	2.0	2.0	WP_008490577.1	T
WP_008491758.1	1	2	1	2	2.0	2.0	WP_008491758.1	T
WP_008544064.1	2	4	2	4	3.5	3.5	WP_008544064.1	T
WP_008544068.1	1	2	1	2	2.0	2.0	WP_008544068.1	T
WP_008544082.1	2	4	2	8	8.0	8.0	WP_008544082.1	T
WP_008544099.1	9	28	20	50	35.3281814804	35.33	WP_008544099.1	T
WP_008544180.1	1	3	1	4	4.0	4.0	WP_008544180.1	T
WP_008544218.1	11	22	20	38	28.4047619048	28.4	WP_008544218.1	T
WP_008544220.1	1	6	1	6	4.83333333333	4.83	WP_008544220.1	T
WP_008544267.1	3	9	3	14	9.0	9.0	WP_008544267.1	T
WP_008544317.1	7	7	10	10	10.0	10.0	WP_008544317.1	T
WP_008544337.1	1	15	1	27	9.78205128205	9.78	WP_008544337.1	T
WP_008544344.1	1	2	1	2	2.0	2.0	WP_008544344.1	T
WP_008544380.1	1	2	1	2	2.0	2.0	WP_008544380.1	T
WP_008544406.1	2	2	3	3	3.0	3.0	WP_008544406.1	T
WP_008544453.1	4	5	6	8	8.0	8.0	WP_008544453.1	T
WP_008544455.1	9	10	9	10	10.0	10.0	WP_008544455.1	T
WP_008544506.1	1	14	3	25	16.2222222222	16.22	WP_008544506.1	T
WP_008544510.1	4	9	5	16	10.5	10.5	WP_008544510.1	T
WP_008544521.1	3	4	3	4	4.0	4.0	WP_008544521.1	T
WP_008544524.1	3	3	3	3	3.0	3.0	WP_008544524.1	T
WP_008544549.1	1	13	1	17	12.3333333333	12.33	WP_008544549.1	T
WP_008544579.1	2	6	3	8	6.0	6.0	WP_008544579.1	T
WP_008544653.1	8	13	10	22	13.2666666667	13.27	WP_008544653.1	T
WP_008544656.1	4	13	7	27	20.7	20.7	WP_008544656.1	T
WP_008544690.1	1	3	1	3	3.0	3.0	WP_008544690.1	T
WP_008544772.1	21	28	73	106	81.8545454545	81.85	WP_008544772.1	T
WP_008544794.1	1	5	1	5	3.5	3.5	WP_008544794.1	T
WP_008544795.1	1	6	1	11	6.0	6.0	WP_008544795.1	T
WP_008544811.1	2	28	2	99	29.8238095238	29.82	WP_008544811.1	T
WP_008544821.1	1	4	1	4	4.0	4.0	WP_008544821.1	T
WP_008544829.1	2	9	2	49	15.8333333333	15.83	WP_008544829.1	T
WP_008544878.1	2	2	3	3	3.0	3.0	WP_008544878.1	T
WP_008544899.1	4	4	5	5	5.0	5.0	WP_008544899.1	T
WP_008544934.1	1	4	1	4	2.5	2.5	WP_008544934.1	T
WP_008544939.1	1	9	2	27	13.6666666667	13.67	WP_008544939.1	T
WP_008544944.1	6	7	22	25	25.0	25.0	WP_008544944.1	T
WP_008544948.1	1	5	1	6	6.0	6.0	WP_008544948.1	T
WP_008544955.1	17	19	46	55	50.5	50.5	WP_008544955.1	T
WP_008544970.1	2	10	6	17	11.8333333333	11.83	WP_008544970.1	T
WP_008545012.1	24	36	26	44	33.1	33.1	WP_008545012.1	T
WP_008545035.1	1	12	1	33	22.8333333333	22.83	WP_008545035.1	T
WP_008545039.1	4	8	5	10	8.5	8.5	WP_008545039.1	T
WP_008545042.1	1	8	1	14	8.0	8.0	WP_008545042.1	T
WP_008545129.1	1	2	1	3	2.0	2.0	WP_008545129.1	T
WP_008545141.1	1	6	1	10	10.0	10.0	WP_008545141.1	T
WP_008545143.1	1	5	1	6	6.0	6.0	WP_008545143.1	T
WP_008545153.1	5	8	6	9	7.5	7.5	WP_008545153.1	T
WP_008545199.1	3	4	3	4	4.0	4.0	WP_008545199.1	T
WP_008545210.1	5	5	7	7	7.0	7.0	WP_008545210.1	T
WP_008545228.1	2	2	3	3	3.0	3.0	WP_008545228.1	T
WP_008545264.1	1	2	1	2	1.5	1.5	WP_008545264.1	T
WP_008545306.1	2	3	2	3	3.0	3.0	WP_008545306.1	T
WP_008545331.1	1	5	1	6	3.5	3.5	WP_008545331.1	T
WP_008545346.1	1	4	1	5	3.0	3.0	WP_008545346.1	T
WP_008545353.1	3	25	5	43	21.1666666667	21.17	WP_008545353.1	T
WP_008545455.1	2	2	3	3	3.0	3.0	WP_008545455.1	T
WP_008545598.1	2	2	3	3	3.0	3.0	WP_008545598.1	T
WP_008545606.1	1	15	1	18	11.0	11.0	WP_008545606.1	T
WP_008545607.1	17	17	22	22	22.0	22.0	WP_008545607.1	T
WP_008545614.1	4	4	6	6	6.0	6.0	WP_008545614.1	T
WP_008545621.1	2	2	2	2	2.0	2.0	WP_008545621.1	T
WP_008545633.1	2	7	2	8	5.0	5.0	WP_008545633.1	T
WP_008545654.1	3	3	3	3	3.0	3.0	WP_008545654.1	T
WP_008545706.1	1	4	2	6	3.83333333333	3.83	WP_008545706.1	T
WP_008545712.1	4	4	5	5	5.0	5.0	WP_008545712.1	T
WP_008545738.1	15	40	61	98	82.5319230769	82.53	WP_008545738.1	T
WP_008545739.1	2	6	2	11	7.0	7.0	WP_008545739.1	T
WP_008545766.1	3	14	10	117	58.6666666667	58.67	WP_008545766.1	T
