#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B2_FASP_Elite_02272014.psm.txt
#	
#	pep{Run1} = ./OSU_B2_FASP_Elite_02272014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 203
#	Target_Proteins_Before_Filtering = 12986
#	Total_Proteins_Before_Filtering = 13189
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 2
#	Target_Proteins_After_Filtering = 3613
#	Total_Proteins_After_Filtering = 3615
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000553250345781
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504821030	1	5	1	5	2.14285714286	2.14	2504821030	T
2504821497	1	6	1	7	4.0	4.0	2504821497	T
2504821659	2	8	2	11	5.83333333333	5.83	2504821659	T
2504822510	2	11	2	14	9.08333333333	9.08	2504822510	T
2504822679	1	2	1	4	4.0	4.0	2504822679	T
2504822710	1	2	1	4	2.5	2.5	2504822710	T
Rev_merged|4311_3	2	2	2	2	2.0	2.0	Rev_merged|4311_3 Decoy	F
WP_002695007.1	1	2	1	2	2.0	2.0	WP_002695007.1	T
WP_002697271.1	1	2	1	2	1.125	1.13	WP_002697271.1	T
WP_002698249.1	1	20	1	31	3.74959733894	3.75	WP_002698249.1	T
WP_002957960.1	2	2	2	2	2.0	2.0	WP_002957960.1	T
WP_004568689.1	2	21	3	86	48.3333333333	48.33	WP_004568689.1	T
WP_004568746.1	1	19	1	104	13.1310166442	13.13	WP_004568746.1	T
WP_004569069.1	1	19	1	58	20.4023809524	20.4	WP_004569069.1	T
WP_004569159.1	1	2	1	2	1.25	1.25	WP_004569159.1	T
WP_004569270.1	1	7	1	12	4.06666666667	4.07	WP_004569270.1	T
WP_004569562.1	2	9	2	10	4.08333333333	4.08	WP_004569562.1	T
WP_004569694.1	4	6	7	11	11.0	11.0	WP_004569694.1	T
WP_004569734.1	1	11	1	23	8.16666666667	8.17	WP_004569734.1	T
WP_004569774.1	1	2	1	2	1.5	1.5	WP_004569774.1	T
WP_004569810.1	1	2	1	2	2.0	2.0	WP_004569810.1	T
WP_004569897.1	2	25	3	38	14.9111111111	14.91	WP_004569897.1	T
WP_004570093.1	5	19	9	42	14.6242424242	14.62	WP_004570093.1	T
WP_004570164.1	3	18	3	294	48.9678571429	48.97	WP_004570164.1	T
WP_004570171.1	1	56	1	108	26.2710662875	26.27	WP_004570171.1	T
WP_004570172.1	1	55	1	133	22.1042439178	22.1	WP_004570172.1	T
WP_004570343.1	3	3	5	5	5.0	5.0	WP_004570343.1	T
WP_004570353.1	1	3	1	4	2.0	2.0	WP_004570353.1	T
WP_004570370.1	1	6	1	6	2.83333333333	2.83	WP_004570370.1	T
WP_004570428.1	1	14	1	17	7.83333333333	7.83	WP_004570428.1	T
WP_004570537.1	2	8	2	11	3.83928571429	3.84	WP_004570537.1	T
WP_004570542.1	1	3	1	4	1.86666666667	1.87	WP_004570542.1	T
WP_005499982.1	2	4	2	5	5.0	5.0	WP_005499982.1	T
WP_005502018.1	1	3	1	3	1.5	1.5	WP_005502018.1	T
WP_006794244.1	1	3	1	3	2.25	2.25	WP_006794244.1	T
WP_006794718.1	1	4	1	4	3.33333333333	3.33	WP_006794718.1	T
WP_006795282.1	3	16	8	29	16.3666666667	16.37	WP_006795282.1	T
WP_006795340.1	1	4	1	4	1.53571428571	1.54	WP_006795340.1	T
WP_006795803.1	3	8	3	13	5.83333333333	5.83	WP_006795803.1	T
WP_006796300.1	1	3	1	3	1.4	1.4	WP_006796300.1	T
WP_006796321.1	1	34	1	216	36.3506077256	36.35	WP_006796321.1	T
WP_006796617.1	1	2	1	2	1.5	1.5	WP_006796617.1	T
WP_006796887.1	1	18	3	217	36.205952381	36.21	WP_006796887.1	T
WP_006797458.1	1	5	5	11	7.53333333333	7.53	WP_006797458.1	T
WP_006954567.1	1	5	1	7	2.0	2.0	WP_006954567.1	T
WP_006956430.1	1	6	6	14	11.0	11.0	WP_006956430.1	T
WP_007016588.1	1	2	1	2	1.5	1.5	WP_007016588.1	T
WP_007017023.1	1	2	1	2	1.33333333333	1.33	WP_007017023.1	T
WP_007017875.1	1	2	1	2	1.25	1.25	WP_007017875.1	T
WP_007017921.1	2	2	2	2	2.0	2.0	WP_007017921.1	T
WP_007018241.1	1	4	1	4	3.5	3.5	WP_007018241.1	T
WP_007019541.1	2	3	7	8	8.0	8.0	WP_007019541.1	T
WP_007022983.1	1	3	1	4	1.5	1.5	WP_007022983.1	T
WP_007093483.1	1	3	2	4	3.5	3.5	WP_007093483.1	T
WP_007093948.1	1	3	1	5	1.66666666667	1.67	WP_007093948.1	T
WP_007094761.1	2	13	2	25	8.75757575758	8.76	WP_007094761.1	T
