#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B3_FASP_Elite_03222014.psm.txt
#	
#	pep{Run1} = ./OSU_B3_FASP_Elite_03222014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 200
#	Target_Proteins_Before_Filtering = 12882
#	Total_Proteins_Before_Filtering = 13082
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 2
#	Target_Proteins_After_Filtering = 3513
#	Total_Proteins_After_Filtering = 3515
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000568990042674
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504821659	1	3	1	6	3.0	3.0	2504821659	T
2504822406	3	19	3	111	19.0166666667	19.02	2504822406	T
2504822510	1	9	1	12	7.95	7.95	2504822510	T
Rev_merged|35827_6	2	2	2	2	2.0	2.0	Rev_merged|35827_6 Decoy	F
Rev_merged|36173_25	2	2	2	2	2.0	2.0	Rev_merged|36173_25 Decoy	F
WP_002695050.1	1	4	4	14	8.33333333333	8.33	WP_002695050.1	T
WP_002696697.1	2	10	2	17	3.00598451216	3.01	WP_002696697.1	T
WP_002696733.1	1	6	1	18	2.19329004329	2.19	WP_002696733.1	T
WP_002697891.1	1	8	1	12	4.20238095238	4.2	WP_002697891.1	T
WP_002698249.1	1	19	1	35	3.41597985348	3.42	WP_002698249.1	T
WP_002702193.1	1	9	1	29	9.58333333333	9.58	WP_002702193.1	T
WP_002957960.1	1	2	1	2	2.0	2.0	WP_002957960.1	T
WP_004568689.1	1	16	1	58	30.3333333333	30.33	WP_004568689.1	T
WP_004568736.1	2	4	2	4	2.44444444444	2.44	WP_004568736.1	T
WP_004569044.1	1	9	1	15	5.28333333333	5.28	WP_004569044.1	T
WP_004569069.1	1	32	1	65	9.68258291376	9.68	WP_004569069.1	T
WP_004569270.1	2	7	2	13	5.41666666667	5.42	WP_004569270.1	T
WP_004569694.1	4	7	5	13	9.0	9.0	WP_004569694.1	T
WP_004569897.1	1	17	1	26	12.65	12.65	WP_004569897.1	T
WP_004570005.1	1	3	1	3	2.33333333333	2.33	WP_004570005.1	T
WP_004570093.1	3	24	8	44	15.5692307692	15.57	WP_004570093.1	T
WP_004570164.1	2	21	7	307	45.1987060041	45.2	WP_004570164.1	T
WP_004570171.1	1	67	1	142	28.9470212794	28.95	WP_004570171.1	T
WP_004570428.1	1	11	1	19	7.04761904762	7.05	WP_004570428.1	T
WP_004570537.1	1	7	1	9	3.39285714286	3.39	WP_004570537.1	T
WP_004570862.1	1	3	1	5	5.0	5.0	WP_004570862.1	T
WP_004570884.1	1	3	1	3	3.0	3.0	WP_004570884.1	T
WP_004571125.1	1	5	1	7	3.66666666667	3.67	WP_004571125.1	T
WP_005498534.1	1	3	1	3	2.125	2.13	WP_005498534.1	T
WP_005499982.1	2	4	2	7	7.0	7.0	WP_005499982.1	T
WP_005503277.1	1	5	1	11	1.66299019608	1.66	WP_005503277.1	T
WP_006794858.1	2	3	2	3	2.5	2.5	WP_006794858.1	T
WP_006795200.1	1	2	1	2	1.33333333333	1.33	WP_006795200.1	T
WP_006795282.1	4	22	10	39	20.7619047619	20.76	WP_006795282.1	T
WP_006795466.1	3	8	3	8	5.53333333333	5.53	WP_006795466.1	T
WP_006795582.1	2	3	2	3	2.33333333333	2.33	WP_006795582.1	T
WP_006795709.1	1	5	1	15	3.38095238095	3.38	WP_006795709.1	T
WP_006796106.1	1	3	1	4	1.33333333333	1.33	WP_006796106.1	T
WP_006796887.1	1	19	1	234	31.9764837819	31.98	WP_006796887.1	T
WP_006797149.1	1	2	1	2	2.0	2.0	WP_006797149.1	T
WP_006797356.1	1	5	1	6	2.31666666667	2.32	WP_006797356.1	T
WP_006797458.1	1	7	5	17	11.0833333333	11.08	WP_006797458.1	T
WP_006954567.1	1	3	2	5	3.0	3.0	WP_006954567.1	T
WP_006954745.1	1	5	1	5	3.53571428571	3.54	WP_006954745.1	T
WP_006956150.1	1	2	1	3	2.0	2.0	WP_006956150.1	T
WP_006956430.1	1	4	3	6	4.6	4.6	WP_006956430.1	T
WP_006956842.1	1	15	1	25	7.86311889621	7.86	WP_006956842.1	T
WP_007017875.1	2	3	4	5	4.33333333333	4.33	WP_007017875.1	T
WP_007017921.1	4	4	4	4	4.0	4.0	WP_007017921.1	T
WP_007018241.1	3	5	3	7	5.5	5.5	WP_007018241.1	T
WP_007018319.1	1	8	1	20	3.88524774775	3.89	WP_007018319.1	T
WP_007018320.1	1	6	1	33	8.8137254902	8.81	WP_007018320.1	T
WP_007019467.1	1	4	1	4	1.84285714286	1.84	WP_007019467.1	T
WP_007020165.1	1	2	1	4	2.5	2.5	WP_007020165.1	T
WP_007021573.1	1	2	1	2	1.03571428571	1.04	WP_007021573.1	T
WP_007093103.1	1	2	1	2	1.5	1.5	WP_007093103.1	T
WP_007093483.1	1	3	1	3	1.66666666667	1.67	WP_007093483.1	T
WP_007094454.1	1	14	1	37	9.55555555556	9.56	WP_007094454.1	T
WP_007094761.1	5	15	6	24	12.0608974359	12.06	WP_007094761.1	T
WP_007095558.1	1	2	1	3	2.0	2.0	WP_007095558.1	T
WP_007095944.1	1	2	1	4	1.33333333333	1.33	WP_007095944.1	T
WP_007096513.1	1	23	1	55	7.89957425575	7.9	WP_007096513.1	T
WP_007097030.1	1	3	1	4	4.0	4.0	WP_007097030.1	T
WP_007097042.1	1	31	2	78	10.3942074266	10.39	WP_007097042.1	T
WP_007196236.1	2	13	12	33	16.1171009284	16.12	WP_007196236.1	T
WP_007199927.1	1	4	1	4	2.58333333333	2.58	WP_007199927.1	T
WP_007204073.1	1	2	1	2	2.0	2.0	WP_007204073.1	T
WP_007206034.1	1	2	2	3	2.2	2.2	WP_007206034.1	T
WP_007233519.1	1	13	2	30	6.34883318192	6.35	WP_007233519.1	T
WP_007233720.1	2	3	2	3	2.5	2.5	WP_007233720.1	T
WP_007233727.1	1	4	1	6	2.33333333333	2.33	WP_007233727.1	T
WP_007234541.1	4	4	4	4	4.0	4.0	WP_007234541.1	T
WP_007235553.1	2	5	2	8	7.0	7.0	WP_007235553.1	T
WP_007235573.1	1	7	1	13	5.16666666667	5.17	WP_007235573.1	T
WP_008034202.1	2	2	3	3	3.0	3.0	WP_008034202.1	T
WP_008035404.1	1	3	1	4	2.5	2.5	WP_008035404.1	T
WP_008035425.1	1	2	1	3	3.0	3.0	WP_008035425.1	T
WP_008036223.1	2	5	4	7	7.0	7.0	WP_008036223.1	T
WP_008105804.1	1	8	1	15	4.07740461049	4.08	WP_008105804.1	T
WP_008105965.1	1	3	1	3	1.28571428571	1.29	WP_008105965.1	T
WP_008106094.1	1	6	1	29	7.56666666667	7.57	WP_008106094.1	T
WP_008106096.1	1	7	2	17	13.5357142857	13.54	WP_008106096.1	T
WP_008106434.1	4	24	7	122	64.5	64.5	WP_008106434.1	T
WP_008108036.1	1	12	1	18	4.5695177926	4.57	WP_008108036.1	T
