#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B4_FASP_Elite_03232014.psm.txt
#	
#	pep{Run1} = ./OSU_B4_FASP_Elite_03232014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 150
#	Target_Proteins_Before_Filtering = 11011
#	Total_Proteins_Before_Filtering = 11161
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 2
#	Target_Proteins_After_Filtering = 2885
#	Total_Proteins_After_Filtering = 2887
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000692760651195
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504821941	1	3	1	3	2.0	2.0	2504821941	T
2504822510	1	10	2	11	6.83333333333	6.83	2504822510	T
Rev_WP_009838485.1	2	2	2	2	2.0	2.0	Rev_WP_009838485.1 Decoy	F
Rev_merged|13983_19	1	2	1	2	2.0	2.0	Rev_merged|13983_19 Decoy	F
WP_002694582.1	1	2	1	2	2.0	2.0	WP_002694582.1	T
WP_002696697.1	2	6	2	7	2.56666666667	2.57	WP_002696697.1	T
WP_002698249.1	1	15	1	25	2.93273504274	2.93	WP_002698249.1	T
WP_002957960.1	3	3	3	3	3.0	3.0	WP_002957960.1	T
WP_004568655.1	1	6	2	8	5.25	5.25	WP_004568655.1	T
WP_004568736.1	1	5	1	6	1.95833333333	1.96	WP_004568736.1	T
WP_004568739.1	1	3	1	5	2.64285714286	2.64	WP_004568739.1	T
WP_004568746.1	1	12	1	52	8.10396825397	8.1	WP_004568746.1	T
WP_004568910.1	1	5	1	5	3.0	3.0	WP_004568910.1	T
WP_004569270.1	1	4	1	6	2.33333333333	2.33	WP_004569270.1	T
WP_004569693.1	1	14	1	25	8.71666666667	8.72	WP_004569693.1	T
WP_004569694.1	2	5	4	7	7.0	7.0	WP_004569694.1	T
WP_004570093.1	2	9	4	17	5.95	5.95	WP_004570093.1	T
WP_004570172.1	1	42	1	79	16.9045104895	16.9	WP_004570172.1	T
WP_004570343.1	2	2	2	2	2.0	2.0	WP_004570343.1	T
WP_004570353.1	1	2	1	2	1.5	1.5	WP_004570353.1	T
WP_004570428.1	1	8	1	10	5.83333333333	5.83	WP_004570428.1	T
WP_004571139.1	1	4	1	4	4.0	4.0	WP_004571139.1	T
WP_005498534.1	2	3	2	3	2.125	2.13	WP_005498534.1	T
WP_005499982.1	1	3	2	6	6.0	6.0	WP_005499982.1	T
WP_005503059.1	1	2	2	3	2.5	2.5	WP_005503059.1	T
